Env	SourceSink
SRS019178	Gut	source
SRS019215	Skin	source
SRS019219	Oral	source
SRS019221	Oral	source
SRS019225	Oral	source
SRS019245	Vaginal	source
SRS019267	Gut	source
SRS019270	Oral	source
SRS019272	Oral	source
SRS019276	Oral	source
SRS019285	Vaginal	source
SRS019286	Gut	source
SRS019327	Oral	source
SRS019329	Oral	source
SRS019333	Oral	source
SRS019339	Skin	source
SRS019348	Oral	source
SRS019352	Oral	source
SRS019360	Oral	source
SRS019372	Skin	source
SRS019379	Vaginal	source
SRS019381	Gut	source
SRS019386	Skin	source
SRS019387	Oral	source
SRS019389	Oral	source
SRS019391	Oral	source
SRS019397	Gut	source
SRS019428	Gut	source
SRS019439	Oral	source
SRS019443	Oral	source
SRS019445	Gut	source
SRS019485	Vaginal	source
SRS019488	Oral	source
SRS019490	Oral	source
SRS019494	Oral	source
SRS019496	Gut	source
SRS019582	Gut	source
SRS019587	Oral	source
SRS019591	Oral	source
SRS019597	Skin	source
SRS019600	Vaginal	source
SRS019601	Gut	source
SRS019607	Oral	source
SRS019638	Gut	source
SRS019685	Gut	source
SRS019693	Gut	source
SRS019696	Oral	source
SRS019698	Oral	source
SRS019787	Gut	source
SRS019792	Oral	source
SRS019794	Oral	source
SRS019798	Oral	source
SRS019807	Vaginal	source
SRS019808	Gut	source
SRS019867	Skin	source
SRS019872	Oral	source
SRS019894	Oral	source
SRS019906	Oral	source
SRS019910	Gut	source
SRS019968	Gut	source
SRS019974	Oral	source
SRS019976	Oral	source
SRS019980	Oral	source
SRS019986	Skin	source
SRS019989	Vaginal	source
SRS020220	Oral	source
SRS020222	Oral	source
SRS020226	Oral	source
SRS020232	Skin	source
SRS020233	Gut	source
SRS020261	Skin	source
SRS020263	Skin	source
SRS020271	Gut	source
SRS020277	Oral	source
SRS020283	Oral	source
SRS020328	Gut	source
SRS020334	Oral	source
SRS020336	Oral	source
SRS020340	Oral	source
SRS020349	Vaginal	source
SRS020386	Skin	source
SRS020394	Gut	source
SRS020400	Oral	source
SRS020402	Oral	source
SRS020406	Oral	source
SRS020412	Skin	source
SRS020508	Gut	source
SRS020540	Oral	source
SRS020571	Oral	source
SRS020622	Gut	source
SRS020628	Oral	source
SRS020856	Oral	source
SRS020858	Oral	source
SRS020862	Oral	source
SRS020868	Skin	source
SRS020869	Gut	source
SRS020905	Skin	source
SRS021153	Gut	source
SRS021219	Gut	source
SRS021473	Oral	source
SRS021477	Oral	source
SRS021483	Skin	source
SRS021484	Gut	source
SRS021496	Oral	source
SRS021528	Oral	source
SRS021897	Oral	source
SRS021948	Gut	source
SRS021954	Oral	source
SRS021960	Oral	source
SRS021969	Vaginal	source
SRS021986	Oral	source
SRS022006	Skin	source
SRS022071	Gut	source
SRS022077	Oral	source
SRS022079	Oral	source
SRS022083	Oral	source
SRS022092	Vaginal	source
SRS022093	Gut	source
SRS022129	Skin	source
SRS022137	Gut	source
SRS022143	Oral	source
SRS022145	Oral	source
SRS022149	Oral	source
SRS022158	Vaginal	source
SRS022281	Oral	source
SRS022464	Oral	source
SRS022524	Gut	source
SRS022530	Oral	source
SRS022532	Oral	source
SRS022536	Oral	source
SRS022545	Vaginal	source
SRS022602	Oral	source
SRS022609	Gut	source
SRS022621	Oral	source
SRS022625	Oral	source
SRS022645	Skin	source
SRS022713	Gut	source
SRS022721	Oral	source
SRS022725	Oral	source
SRS022734	Vaginal	source
SRS022883	Oral	source
SRS022980	Oral	source
SRS023212	Skin	source
SRS023346	Gut	source
SRS023352	Oral	source
SRS023358	Oral	source
SRS023466	Vaginal	source
SRS023468	Vaginal	source
SRS023526	Gut	source
SRS023534	Oral	source
SRS023538	Oral	source
SRS023557	Oral	source
SRS023583	Gut	source
SRS023591	Oral	source
SRS023595	Oral	source
SRS023604	Vaginal	source
SRS023617	Oral	source
SRS023715	Gut	source
SRS023829	Gut	source
SRS023835	Oral	source
SRS023837	Oral	source
SRS023841	Oral	source
SRS023847	Skin	source
SRS023850	Vaginal	source
SRS023914	Gut	source
SRS023926	Oral	source
SRS023930	Oral	source
SRS023938	Oral	source
SRS023958	Oral	source
SRS023964	Oral	source
SRS023970	Skin	source
SRS023971	Gut	source
SRS023987	Oral	source
SRS024009	Gut	source
SRS024015	Oral	source
SRS024017	Oral	source
SRS024021	Oral	source
SRS024064	Skin	source
SRS024068	Vaginal	source
SRS024075	Gut	source
SRS024076	Gut	source
SRS024081	Oral	source
SRS024087	Oral	source
SRS024107	Oral	source
SRS024119	Oral	source
SRS024132	Gut	source
SRS024138	Oral	source
SRS024140	Oral	source
SRS024144	Oral	source
SRS024150	Skin	source
SRS024265	Gut	source
SRS024277	Oral	source
SRS024281	Oral	source
SRS024289	Oral	source
SRS024301	Skin	source
SRS024310	Vaginal	source
SRS024318	Oral	source
SRS024331	Gut	source
SRS024347	Oral	source
SRS024355	Oral	source
SRS024375	Oral	source
SRS024377	Oral	source
SRS024381	Oral	source
SRS024388	Gut	source
SRS024424	Skin	source
SRS024428	Vaginal	source
SRS024435	Gut	source
SRS024441	Oral	source
SRS024447	Oral	source
SRS024470	Oral	source
SRS024482	Skin	source
SRS024492	Gut	source
SRS024498	Oral	source
SRS024500	Oral	source
SRS024504	Oral	source
SRS024549	Gut	source
SRS024557	Oral	source
SRS024561	Oral	source
SRS024567	Skin	source
SRS024580	Oral	source
SRS024596	Skin	source
SRS024598	Skin	source
SRS024620	Skin	source
SRS024625	Gut	source
SRS024637	Oral	source
SRS024649	Oral	source
SRS024655	Skin	source
SRS024663	Gut	source
SRS042131	Oral	source
SRS042231	Gut	source
SRS042284	Gut	source
SRS042307	Oral	source
SRS042409	Oral	source
SRS042428	Vaginal	source
SRS042457	Oral	source
SRS042589	Oral	source
SRS042600	Gut	source
SRS042625	Vaginal	source
SRS042628	Gut	source
SRS042643	Oral	source
SRS042690	Gut	source
SRS042691	Oral	source
SRS042858	Vaginal	source
SRS042893	Gut	source
SRS042910	Oral	source
SRS042959	Skin	source
SRS042966	Gut	source
SRS042967	Gut	source
SRS042983	Skin	source
SRS042984	Oral	source
SRS043001	Gut	source
SRS043018	Oral	source
SRS043083	Oral	source
SRS043239	Oral	source
SRS043275	Oral	source
SRS043363	Skin	source
SRS043411	Gut	source
SRS043451	Skin	source
SRS043461	Oral	source
SRS043494	Oral	source
SRS043610	Skin	source
SRS043646	Oral	source
SRS043663	Oral	source
SRS043667	Gut	source
SRS043676	Oral	source
SRS043701	Gut	source
SRS043729	Oral	source
SRS043755	Oral	source
SRS043768	Gut	source
SRS043772	Oral	source
SRS043803	Oral	source
SRS043807	Oral	source
SRS043841	Gut	source
SRS043867	Oral	source
SRS043942	Oral	source
SRS044001	Oral	source
SRS044082	Oral	source
SRS044230	Oral	source
SRS044365	Gut	source
SRS044366	Oral	source
SRS044373	Oral	source
SRS044448	Oral	source
SRS044472	Oral	source
SRS044474	Skin	source
SRS044486	Oral	source
SRS044535	Gut	source
SRS044626	Skin	source
SRS044742	Vaginal	source
SRS044902	Vaginal	source
SRS044973	Gut	source
SRS045004	Gut	source
SRS045015	Oral	source
SRS045049	Oral	source
SRS045127	Oral	source
SRS045195	Gut	source
SRS045197	Oral	source
SRS045244	Gut	source
SRS045254	Oral	source
SRS045262	Oral	source
SRS045313	Oral	source
SRS045528	Gut	source
SRS045588	Oral	source
SRS045602	Oral	source
SRS045605	Skin	source
SRS045606	Skin	source
SRS045638	Oral	source
SRS045645	Gut	source
SRS045713	Gut	source
SRS045715	Oral	source
SRS045739	Gut	source
SRS045763	Oral	source
SRS045826	Gut	source
SRS045840	Skin	source
SRS045936	Gut	source
SRS045938	Gut	source
SRS045978	Oral	source
SRS046034	Vaginal	source
SRS046035	Skin	source
SRS046049	Skin	source
SRS046068	Gut	source
SRS046344	Skin	source
SRS046369	Gut	source
SRS046496	Oral	source
SRS046502	Gut	source
SRS046595	Oral	source
SRS046623	Oral	source
SRS046686	Oral	source
SRS046688	Skin	source
SRS046712	Gut	source
SRS046717	Gut	source
SRS046810	Gut	source
SRS046973	Skin	source
SRS047014	Gut	source
SRS047044	Gut	source
SRS047069	Gut	source
SRS047100	Oral	source
SRS047113	Oral	source
SRS047126	Oral	source
SRS047134	Skin	source
SRS047140	Vaginal	source
SRS047210	Oral	source
SRS047219	Oral	source
SRS047225	Skin	source
SRS047254	Skin	source
SRS047265	Oral	source
SRS047290	Oral	source
SRS047335	Vaginal	source
SRS047433	Gut	source
SRS047590	Oral	source
SRS047634	Oral	source
SRS047708	Skin	source
SRS047741	Gut	source
SRS047824	Oral	source
SRS047844	Skin	source
SRS048060	Gut	source
SRS048164	Gut	source
SRS048262	Gut	source
SRS048307	Gut	source
SRS048317	Oral	source
SRS048411	Oral	source
SRS048536	Vaginal	source
SRS048620	Oral	source
SRS048654	Gut	source
SRS048702	Skin	source
SRS048719	Oral	source
SRS048744	Oral	source
SRS048791	Oral	source
SRS048855	Skin	source
SRS048870	Gut	source
SRS048893	Oral	source
SRS048981	Gut	source
SRS049099	Skin	source
SRS049147	Oral	source
SRS049164	Gut	source
SRS049191	Skin	source
SRS049237	Vaginal	source
SRS049253	Oral	source
SRS049268	Oral	source
SRS049283	Oral	source
SRS049289	Oral	source
SRS049318	Oral	source
SRS049340	Vaginal	source
SRS049389	Oral	source
SRS049390	Vaginal	source
SRS049392	Oral	source
SRS049402	Gut	source
SRS049446	Gut	source
SRS049448	Oral	source
SRS049541	Vaginal	source
SRS049547	Skin	source
SRS049712	Gut	source
SRS049744	Skin	source
SRS049773	Gut	source
SRS049896	Gut	source
SRS049900	Gut	source
SRS049959	Gut	source
SRS049988	Oral	source
SRS049995	Gut	source
SRS050007	Oral	source
SRS050025	Skin	source
SRS050026	Gut	source
SRS050029	Oral	source
SRS050071	Oral	source
SRS050184	Vaginal	source
SRS050225	Skin	source
SRS050244	Oral	source
SRS050299	Gut	source
SRS050422	Gut	source
SRS050484	Skin	source
SRS050520	Gut	source
SRS050557	Skin	source
SRS050628	Oral	source
SRS050669	Oral	source
SRS050709	Oral	source
SRS050752	Gut	source
SRS050783	Oral	source
SRS050799	Oral	source
SRS050801	Gut	source
SRS050905	Oral	source
SRS050925	Gut	source
SRS050941	Gut	source
SRS050974	Gut	source
SRS050998	Gut	source
SRS051031	Gut	source
SRS051060	Oral	source
SRS051116	Oral	source
SRS051228	Oral	source
SRS051244	Oral	source
SRS051378	Oral	source
SRS051505	Vaginal	source
SRS051548	Vaginal	source
SRS051600	Skin	source
SRS051610	Gut	source
SRS051613	Skin	source
SRS051637	Vaginal	source
SRS051786	Oral	source
SRS051791	Oral	source
SRS051882	Gut	source
SRS051930	Oral	source
SRS051941	Oral	source
SRS052027	Gut	source
SRS052061	Oral	source
SRS052078	Gut	source
SRS052095	Oral	source
SRS052227	Oral	source
SRS052330	Vaginal	source
SRS052518	Oral	source
SRS052570	Oral	source
SRS052576	Gut	source
SRS052590	Skin	source
SRS052604	Oral	source
SRS052620	Vaginal	source
SRS052668	Oral	source
SRS052697	Gut	source
SRS052756	Vaginal	source
SRS052778	Skin	source
SRS052859	Vaginal	source
SRS052874	Oral	source
SRS052876	Oral	source
SRS052988	Skin	source
SRS053087	Gut	source
SRS053214	Gut	source
SRS053290	Gut	source
SRS053335	Gut	source
SRS053356	Gut	source
SRS053398	Gut	source
SRS053437	Skin	source
SRS053573	Gut	source
SRS053578	Skin	source
SRS053583	Oral	source
SRS053584	Oral	source
SRS053587	Gut	source
SRS053603	Oral	source
SRS053630	Oral	source
SRS053649	Gut	source
SRS053741	Vaginal	source
SRS053854	Oral	source
SRS053895	Oral	source
SRS053917	Oral	source
SRS054018	Oral	source
SRS054059	Gut	source
SRS054061	Skin	source
SRS054079	Oral	source
SRS054196	Oral	source
SRS054352	Gut	source
SRS054430	Oral	source
SRS054569	Oral	source
SRS054590	Gut	source
SRS054653	Oral	source
SRS054687	Oral	source
SRS054753	Gut	source
SRS054776	Oral	source
SRS054807	Oral	source
SRS054869	Gut	source
SRS054905	Gut	source
SRS054956	Gut	source
SRS054962	Vaginal	source
SRS054976	Oral	source
SRS054995	Oral	source
SRS055017	Gut	source
SRS055018	Vaginal	source
SRS055118	Oral	source
SRS055177	Oral	source
SRS055288	Gut	source
SRS055298	Vaginal	source
SRS055378	Oral	source
SRS055401	Oral	source
SRS055426	Oral	source
SRS055450	Oral	source
SRS055495	Oral	source
SRS055533	Gut	source
SRS055966	Gut	source
SRS055982	Gut	source
SRS056042	Oral	source
SRS056090	Oral	source
SRS056113	Oral	source
SRS056156	Vaginal	source
SRS056157	Oral	source
SRS056210	Skin	source
SRS056259	Gut	source
SRS056273	Gut	source
SRS056323	Oral	source
SRS056327	Oral	source
SRS056447	Oral	source
SRS056461	Oral	source
SRS056481	Gut	source
SRS056483	Vaginal	source
SRS056519	Gut	source
SRS056537	Oral	source
SRS056622	Oral	source
SRS056623	Vaginal	source
SRS056695	Vaginal	source
SRS056699	Skin	source
SRS056712	Skin	source
SRS056796	Vaginal	source
SRS056892	Oral	source
SRS056896	Oral	source
SRS056906	Skin	source
SRS056951	Oral	source
SRS057022	Oral	source
SRS057049	Gut	source
SRS057083	Skin	source
SRS057124	Oral	source
SRS057205	Oral	source
SRS057244	Oral	source
SRS057344	Vaginal	source
SRS057355	Oral	source
SRS057389	Oral	source
SRS057478	Gut	source
SRS057480	Gut	source
SRS057490	Oral	source
SRS057539	Oral	source
SRS057559	Skin	source
SRS057619	Oral	source
SRS057692	Oral	source
SRS057717	Gut	source
SRS057791	Oral	source
SRS057807	Vaginal	source
SRS057886	Oral	source
SRS057894	Vaginal	source
SRS057931	Oral	source
SRS058053	Oral	source
SRS058070	Gut	source
SRS058075	Oral	source
SRS058094	Skin	source
SRS058105	Oral	source
SRS058145	Gut	source
SRS058182	Skin	source
SRS058186	Oral	source
SRS058213	Skin	source
SRS058221	Skin	source
SRS058261	Oral	source
SRS058268	Gut	source
SRS058336	Oral	source
SRS058456	Skin	source
SRS058646	Skin	source
SRS058693	Oral	source
SRS058723	Gut	source
SRS058730	Oral	source
SRS058770	Gut	source
SRS058808	Oral	source
SRS062418	Oral	source
SRS062427	Gut	source
SRS062512	Vaginal	source
SRS062520	Vaginal	source
SRS062540	Oral	source
SRS062544	Oral	source
SRS062545	Vaginal	source
SRS062632	Skin	source
SRS062640	Skin	source
SRS062654	Gut	source
SRS062668	Oral	source
SRS062701	Gut	source
SRS062713	Skin	source
SRS062714	Oral	source
SRS062716	Gut	source
SRS062752	Vaginal	source
SRS062761	Oral	source
SRS062878	Oral	source
SRS062906	Vaginal	source
SRS062931	Oral	source
SRS063005	Skin	source
SRS063035	Skin	source
