Env	SourceSink
SRS893273	Oral	source
SRS893274	Oral	source
SRS893275	Skin	source
SRS893276	Oral	source
SRS893277	Oral	source
SRS893278	Oral	source
SRS893279	Gut	source
SRS893280	Oral	source
SRS893281	Oral	source
SRS893282	Oral	source
SRS893283	Oral	source
SRS893284	Oral	source
SRS893285	Gut	source
SRS893286	Oral	source
SRS893287	Vaginal	source
SRS893288	Gut	source
SRS893289	Oral	source
SRS893290	Oral	source
SRS893291	Oral	source
SRS893292	Gut	source
SRS893294	Skin	source
SRS893295	Gut	source
SRS893296	Skin	source
SRS893297	Oral	source
SRS893298	Oral	source
SRS893299	Oral	source
SRS893300	Gut	source
SRS893301	Oral	source
SRS893318	Oral	source
SRS893319	Skin	source
SRS893320	Vaginal	source
SRS893321	Oral	source
SRS893322	Oral	source
SRS893323	Oral	source
SRS893324	Oral	source
SRS893325	Oral	source
SRS893326	Skin	source
SRS893327	Gut	source
SRS893328	Oral	source
SRS893329	Skin	source
SRS893330	Oral	source
SRS893332	Oral	source
SRS893333	Oral	source
SRS893334	Oral	source
SRS893335	Oral	source
SRS893336	Oral	source
SRS893337	Oral	source
SRS893338	Oral	source
SRS893339	Oral	source
SRS893340	Skin	source
SRS893341	Gut	source
SRS893342	Gut	source
SRS893343	Skin	source
SRS893344	Vaginal	source
SRS893346	Oral	source
SRS893347	Oral	source
SRS893348	Oral	source
SRS893349	Oral	source
SRS893350	Oral	source
SRS893351	Skin	source
SRS893352	Oral	source
SRS893353	Oral	source
SRS893354	Oral	source
SRS893355	Oral	source
SRS893356	Skin	source
SRS893357	Vaginal	source
SRS893358	Gut	source
SRS893359	Oral	source
SRS893360	Oral	source
SRS893361	Oral	source
SRS893362	Oral	source
SRS893363	Oral	source
SRS893364	Vaginal	source
SRS893365	Oral	source
SRS893366	Gut	source
SRS893367	Skin	source
SRS893368	Oral	source
SRS893369	Gut	source
SRS893371	Oral	source
SRS893372	Skin	source
SRS893373	Gut	source
SRS893374	Oral	source
SRS893375	Skin	source
SRS893376	Oral	source
SRS893377	Oral	source
SRS893378	Gut	source
SRS893379	Oral	source
SRS893380	Gut	source
SRS893381	Oral	source
SRS893382	Gut	source
SRS893383	Gut	source
SRS893384	Skin	source
SRS893385	Oral	source
SRS971275	Gut	source
SRS971276	Gut	source
SRS971277	Oral	source
SRS971427	Skin	source
SRS971428	Skin	source
